   "X m"          "Y m"          "Z m"        "U m/s"     "V m/s"        "W m/s"     "uu m^2/s^2" "vv m^2/s^2"   "uv m^2/s^2" 
 0.0766193000  0.0413528000  0.1200000000  6.9969182000  0.0113903000 -0.0246081000  0.7894936000  0.2171821000 -0.1280625000
 0.0791602000  0.0413528000  0.1200000000  6.9977546000  0.0064019000 -0.0214904000  0.7888204000  0.2176573000 -0.1296147000
 0.0817011000  0.0413528000  0.1200000000  6.9989300000  0.0051948000 -0.0194959000  0.7863956000  0.2180005000 -0.1302543000
 0.0842419000  0.0413528000  0.1200000000  6.9993320000  0.0065568000 -0.0221804000  0.7845755000  0.2191171000 -0.1299300000
 0.0867828000  0.0413528000  0.1200000000  6.9999371000  0.0000946000 -0.0200905000  0.7870373000  0.2197484000 -0.1301890000
 0.0893237000  0.0413528000  0.1200000000  6.9997387000 -0.0073002000 -0.0190477000  0.7862474000  0.2194071000 -0.1303915000
 0.0918646000  0.0413528000  0.1200000000  6.9988337000 -0.0098675000 -0.0213489000  0.7835313000  0.2189268000 -0.1300158000
 0.0944055000  0.0413528000  0.1200000000  6.9976196000 -0.0030799000 -0.0274154000  0.7834254000  0.2194383000 -0.1287266000
 0.0969463000  0.0413528000  0.1200000000  6.9964824000 -0.0012080000 -0.0281758000  0.7833318000  0.2169888000 -0.1289628000
 0.0994872000  0.0413528000  0.1200000000  6.9948220000 -0.0081869000 -0.0313958000  0.7812409000  0.2124922000 -0.1307389000
 0.1020281000  0.0413528000  0.1200000000  6.9923773000 -0.0140489000 -0.0338867000  0.7785174000  0.2079431000 -0.1322697000
 0.1045690000  0.0413528000  0.1200000000  6.9901648000 -0.0155236000 -0.0349013000  0.7765073000  0.2044183000 -0.1327807000
 0.1071099000  0.0413528000  0.1200000000  6.9898901000 -0.0134840000 -0.0352372000  0.7766537000  0.2024921000 -0.1321026000
 0.1096507000  0.0413528000  0.1200000000  6.9875345000 -0.0154825000 -0.0358271000  0.7775684000  0.2018492000 -0.1318221000
 0.1121916000  0.0413528000  0.1200000000  6.9860764000 -0.0197816000 -0.0385461000  0.7777941000  0.2035221000 -0.1311966000
 0.1147325000  0.0413528000  0.1200000000  6.9849620000 -0.0228409000 -0.0406636000  0.7768440000  0.2056210000 -0.1310803000
 0.1172734000  0.0413528000  0.1200000000  6.9849358000 -0.0231109000 -0.0418013000  0.7751787000  0.2070437000 -0.1317082000
 0.1198142000  0.0413528000  0.1200000000  6.9858475000 -0.0210243000 -0.0442092000  0.7741314000  0.2073315000 -0.1326061000
 0.1223551000  0.0413528000  0.1200000000  6.9840307000 -0.0181927000 -0.0483762000  0.7705710000  0.2048030000 -0.1322887000
 0.1248960000  0.0413528000  0.1200000000  6.9812217000 -0.0137662000 -0.0535651000  0.7711625000  0.2021172000 -0.1316967000
 0.1274369000  0.0413528000  0.1200000000  6.9780965000 -0.0115044000 -0.0578698000  0.7730108000  0.2001633000 -0.1309651000
 0.1299778000  0.0413528000  0.1200000000  6.9752302000 -0.0130905000 -0.0594990000  0.7739388000  0.1991379000 -0.1300441000
 0.1325186000  0.0413528000  0.1200000000  6.9734812000 -0.0164541000 -0.0563884000  0.7734284000  0.1981160000 -0.1285435000
 0.1350595000  0.0413528000  0.1200000000  6.9729457000 -0.0146099000 -0.0537062000  0.7733668000  0.1973095000 -0.1266681000
 0.1376004000  0.0413528000  0.1200000000  6.9729376000 -0.0122404000 -0.0505163000  0.7731926000  0.1976480000 -0.1253736000
 0.1401413000  0.0413528000  0.1200000000  6.9721274000 -0.0092591000 -0.0487723000  0.7738063000  0.1986419000 -0.1247522000
 0.1426822000  0.0413528000  0.1200000000  6.9697485000 -0.0060582000 -0.0503148000  0.7755361000  0.1997789000 -0.1249515000
 0.1452231000  0.0413528000  0.1200000000  6.9664569000 -0.0060763000 -0.0565145000  0.7765356000  0.2009088000 -0.1267541000
 0.1477639000  0.0413528000  0.1200000000  6.9626350000 -0.0056602000 -0.0600548000  0.7767856000  0.1997750000 -0.1279168000
 0.1503048000  0.0413528000  0.1200000000  6.9599571000 -0.0047327000 -0.0603686000  0.7765582000  0.1982759000 -0.1283687000
 0.1528457000  0.0413528000  0.1200000000  6.9576836000 -0.0051684000 -0.0598496000  0.7765781000  0.1975432000 -0.1286386000
 0.1553866000  0.0413528000  0.1200000000  6.9558778000 -0.0082755000 -0.0611089000  0.7776660000  0.1984513000 -0.1292223000
 0.1579274000  0.0413528000  0.1200000000  6.9553924000 -0.0104666000 -0.0646946000  0.7801197000  0.2011892000 -0.1296068000
 0.1604683000  0.0413528000  0.1200000000  6.9549522000 -0.0114306000 -0.0624950000  0.7795180000  0.2020432000 -0.1299843000
 0.1630092000  0.0413528000  0.1200000000  6.9534721000 -0.0132841000 -0.0612093000  0.7786853000  0.2019012000 -0.1305586000
 0.1655501000  0.0413528000  0.1200000000  6.9507284000 -0.0148346000 -0.0628176000  0.7776218000  0.2014594000 -0.1313788000
 0.1680910000  0.0413528000  0.1200000000  6.9471774000 -0.0139591000 -0.0673832000  0.7754765000  0.2013999000 -0.1323211000
 0.1706318000  0.0413528000  0.1200000000  6.9452205000 -0.0098340000 -0.0694462000  0.7707553000  0.2019956000 -0.1319086000
 0.1731727000  0.0413528000  0.1200000000  6.9435835000 -0.0107608000 -0.0692644000  0.7681451000  0.2026979000 -0.1315697000
