   "X m"          "Y m"          "Z m"        "U m/s"     "V m/s"        "W m/s"     "uu m^2/s^2" "vv m^2/s^2"   "uv m^2/s^2" 
-0.1860628000  0.0413528000 -0.1800000000  6.9241362000  0.0591063000  0.0890832000  0.7420263000  0.1602490000 -0.1313276000
-0.1835207000  0.0413528000 -0.1800000000  6.9258680000  0.0592953000  0.0936731000  0.7343050000  0.1578753000 -0.1283034000
-0.1809785000  0.0413528000 -0.1800000000  6.9274735000  0.0586554000  0.0963714000  0.7266785000  0.1550100000 -0.1246012000
-0.1784364000  0.0413528000 -0.1800000000  6.9246359000  0.0582237000  0.1046572000  0.7282978000  0.1546318000 -0.1230068000
-0.1758943000  0.0413528000 -0.1800000000  6.9223495000  0.0578044000  0.1130916000  0.7261595000  0.1563801000 -0.1224031000
-0.1733522000  0.0413528000 -0.1800000000  6.9199333000  0.0574023000  0.1215718000  0.7212686000  0.1596534000 -0.1225231000
-0.1708100000  0.0413528000 -0.1800000000  6.9160895000  0.0591942000  0.1207890000  0.7195369000  0.1628755000 -0.1255449000
-0.1682679000  0.0413528000 -0.1800000000  6.9112620000  0.0629587000  0.1163142000  0.7184415000  0.1647549000 -0.1268616000
-0.1657258000  0.0413528000 -0.1800000000  6.9050794000  0.0693265000  0.1069653000  0.7181796000  0.1648609000 -0.1259268000
-0.1631836000  0.0413528000 -0.1800000000  6.9027758000  0.0694445000  0.1016926000  0.7202078000  0.1633073000 -0.1246536000
-0.1606415000  0.0413528000 -0.1800000000  6.9019427000  0.0676346000  0.1009383000  0.7220742000  0.1615343000 -0.1232977000
-0.1580994000  0.0413528000 -0.1800000000  6.9025602000  0.0635750000  0.1099524000  0.7224819000  0.1598968000 -0.1218640000
-0.1555573000  0.0413528000 -0.1800000000  6.9036121000  0.0603312000  0.1126473000  0.7200623000  0.1588186000 -0.1201496000
-0.1530151000  0.0413528000 -0.1800000000  6.9046383000  0.0576183000  0.1119683000  0.7170349000  0.1581402000 -0.1188286000
-0.1504730000  0.0413528000 -0.1800000000  6.9022217000  0.0561505000  0.1063042000  0.7174843000  0.1585141000 -0.1208112000
-0.1479309000  0.0413528000 -0.1800000000  6.9003940000  0.0543097000  0.1023374000  0.7215422000  0.1609459000 -0.1253547000
-0.1453887000  0.0413528000 -0.1800000000  6.8987083000  0.0521707000  0.0997119000  0.7284284000  0.1650022000 -0.1319236000
-0.1428466000  0.0413528000 -0.1800000000  6.8958511000  0.0504861000  0.0999373000  0.7352732000  0.1680001000 -0.1377993000
-0.1403045000  0.0413528000 -0.1800000000  6.8928375000  0.0499032000  0.1045300000  0.7415041000  0.1692271000 -0.1418584000
-0.1377624000  0.0413528000 -0.1800000000  6.8892589000  0.0509025000  0.1153738000  0.7468079000  0.1679057000 -0.1432956000
-0.1352202000  0.0413528000 -0.1800000000  6.8867331000  0.0528449000  0.1184733000  0.7517331000  0.1657695000 -0.1434067000
-0.1326781000  0.0413528000 -0.1800000000  6.8850951000  0.0556114000  0.1182159000  0.7562487000  0.1638685000 -0.1426971000
