   "X m"          "Y m"          "Z m"        "U m/s"     "V m/s"        "W m/s"     "uu m^2/s^2" "vv m^2/s^2"   "uv m^2/s^2" 
-0.0818355000  0.0413528000  0.1800000000  6.7362165000  0.0714782000  0.0253595000  0.7828060000  0.1807981000 -0.1439288000
-0.0792934000  0.0413528000  0.1800000000  6.7399797000  0.0731119000  0.0259405000  0.7862543000  0.1830598000 -0.1431443000
-0.0767513000  0.0413528000  0.1800000000  6.7447052000  0.0689901000  0.0295736000  0.7852581000  0.1834344000 -0.1403126000
-0.0742091000  0.0413528000  0.1800000000  6.7492065000  0.0627203000  0.0287398000  0.7845478000  0.1822538000 -0.1391339000
-0.0716670000  0.0413528000  0.1800000000  6.7528925000  0.0555625000  0.0301294000  0.7851565000  0.1822338000 -0.1415848000
-0.0691249000  0.0413528000  0.1800000000  6.7543154000  0.0487769000  0.0362795000  0.7860091000  0.1841651000 -0.1476177000
-0.0665828000  0.0413528000  0.1800000000  6.7535839000  0.0444468000  0.0337401000  0.7802562000  0.1824226000 -0.1516099000
-0.0640406000  0.0413528000  0.1800000000  6.7528372000  0.0405153000  0.0328480000  0.7767909000  0.1814614000 -0.1498296000
-0.0614985000  0.0413528000  0.1800000000  6.7511125000  0.0356354000  0.0347726000  0.7758128000  0.1804675000 -0.1448018000
-0.0589564000  0.0413528000  0.1800000000  6.7486696000  0.0325967000  0.0398844000  0.7747937000  0.1801198000 -0.1410896000
-0.0564142000  0.0413528000  0.1800000000  6.7471585000  0.0340127000  0.0476430000  0.7710508000  0.1811973000 -0.1427684000
-0.0538721000  0.0413528000  0.1800000000  6.7487764000  0.0347905000  0.0527210000  0.7645231000  0.1829308000 -0.1459425000
-0.0513300000  0.0413528000  0.1800000000  6.7524471000  0.0341172000  0.0535109000  0.7595108000  0.1854801000 -0.1493134000
-0.0487879000  0.0413528000  0.1800000000  6.7564492000  0.0343082000  0.0564672000  0.7567350000  0.1870089000 -0.1534023000
-0.0462457000  0.0413528000  0.1800000000  6.7594619000  0.0334276000  0.0579570000  0.7536078000  0.1878711000 -0.1570494000
-0.0437036000  0.0413528000  0.1800000000  6.7613416000  0.0278396000  0.0505030000  0.7460849000  0.1893376000 -0.1582616000
-0.0411615000  0.0413528000  0.1800000000  6.7665563000  0.0275482000  0.0626513000  0.7393219000  0.1868936000 -0.1563195000
-0.0386193000  0.0413528000  0.1800000000  6.7720103000  0.0285758000  0.0694271000  0.7345412000  0.1867117000 -0.1546622000
-0.0360772000  0.0413528000  0.1800000000  6.7758970000  0.0289057000  0.0692577000  0.7282704000  0.1851525000 -0.1520485000
-0.0335351000  0.0413528000  0.1800000000  6.7778015000  0.0279237000  0.0656504000  0.7208709000  0.1817612000 -0.1477198000
-0.0309930000  0.0413528000  0.1800000000  6.7786260000  0.0263188000  0.0683361000  0.7168133000  0.1792949000 -0.1412149000
-0.0284508000  0.0413528000  0.1800000000  6.7796555000  0.0229791000  0.0682334000  0.7175312000  0.1813402000 -0.1411960000
-0.0259087000  0.0413528000  0.1800000000  6.7793331000  0.0239665000  0.0701444000  0.7242035000  0.1878106000 -0.1451629000
-0.1860628000  0.0439249000  0.1800000000  6.7716498000  0.0494171000  0.0230565000  0.7397975000  0.1784060000 -0.1449548000
-0.1835207000  0.0439249000  0.1800000000  6.7735424000  0.0506120000  0.0293882000  0.7403079000  0.1787230000 -0.1487008000
-0.1809785000  0.0439249000  0.1800000000  6.7755518000  0.0510439000  0.0350287000  0.7408355000  0.1799265000 -0.1513327000
-0.1784364000  0.0439249000  0.1800000000  6.7762032000  0.0512327000  0.0361818000  0.7423014000  0.1803050000 -0.1511918000
-0.1758943000  0.0439249000  0.1800000000  6.7740870000  0.0497611000  0.0290120000  0.7454075000  0.1806302000 -0.1503718000
-0.1733522000  0.0439249000  0.1800000000  6.7731938000  0.0490052000  0.0281165000  0.7489637000  0.1830139000 -0.1478824000
-0.1708100000  0.0439249000  0.1800000000  6.7734909000  0.0500472000  0.0301772000  0.7483026000  0.1849645000 -0.1446801000
-0.1682679000  0.0439249000  0.1800000000  6.7733173000  0.0512724000  0.0292186000  0.7465600000  0.1861147000 -0.1413913000
-0.1657258000  0.0439249000  0.1800000000  6.7719040000  0.0514453000  0.0213398000  0.7474394000  0.1864578000 -0.1388190000
-0.1631836000  0.0439249000  0.1800000000  6.7703218000  0.0545589000  0.0177947000  0.7497333000  0.1858187000 -0.1391252000
-0.1606415000  0.0439249000  0.1800000000  6.7699308000  0.0565847000  0.0230090000  0.7597266000  0.1842214000 -0.1400202000
-0.1580994000  0.0439249000  0.1800000000  6.7693439000  0.0596429000  0.0226549000  0.7690206000  0.1823484000 -0.1405777000
-0.1555573000  0.0439249000  0.1800000000  6.7689800000  0.0649171000  0.0222127000  0.7733672000  0.1818747000 -0.1413310000
-0.1530151000  0.0439249000  0.1800000000  6.7708383000  0.0728432000  0.0334444000  0.7702968000  0.1847383000 -0.1433280000
-0.1504730000  0.0439249000  0.1800000000  6.7722960000  0.0749087000  0.0366818000  0.7656496000  0.1877229000 -0.1458243000
-0.1479309000  0.0439249000  0.1800000000  6.7734432000  0.0763761000  0.0400840000  0.7626985000  0.1883886000 -0.1452254000
-0.1453887000  0.0439249000  0.1800000000  6.7738161000  0.0763351000  0.0427633000  0.7632357000  0.1893171000 -0.1450972000
-0.1428466000  0.0439249000  0.1800000000  6.7743120000  0.0750213000  0.0449379000  0.7674717000  0.1909117000 -0.1471227000
-0.1403045000  0.0439249000  0.1800000000  6.7754145000  0.0736926000  0.0478016000  0.7740632000  0.1917901000 -0.1517298000
-0.1377624000  0.0439249000  0.1800000000  6.7756104000  0.0770927000  0.0424444000  0.7790343000  0.1899925000 -0.1513799000
-0.1352202000  0.0439249000  0.1800000000  6.7782841000  0.0724798000  0.0414939000  0.7801340000  0.1893197000 -0.1509252000
-0.1326781000  0.0439249000  0.1800000000  6.7826462000  0.0687895000  0.0449234000  0.7783369000  0.1889301000 -0.1504162000
-0.1301360000  0.0439249000  0.1800000000  6.7871561000  0.0711051000  0.0506748000  0.7754468000  0.1883132000 -0.1496356000
-0.1275938000  0.0439249000  0.1800000000  6.7903695000  0.0777537000  0.0529016000  0.7753010000  0.1877182000 -0.1479698000
-0.1250517000  0.0439249000  0.1800000000  6.7920108000  0.0779198000  0.0535341000  0.7768672000  0.1889182000 -0.1470026000
-0.1225096000  0.0439249000  0.1800000000  6.7913294000  0.0787275000  0.0493416000  0.7755095000  0.1913307000 -0.1472585000
-0.1199675000  0.0439249000  0.1800000000  6.7893963000  0.0801897000  0.0455040000  0.7724891000  0.1943890000 -0.1491451000
-0.1174253000  0.0439249000  0.1800000000  6.7871099000  0.0806925000  0.0460010000  0.7702016000  0.1972823000 -0.1523787000
-0.1148832000  0.0439249000  0.1800000000  6.7865305000  0.0742633000  0.0461361000  0.7739240000  0.1981334000 -0.1539792000
-0.1123411000  0.0439249000  0.1800000000  6.7886343000  0.0718727000  0.0479883000  0.7746975000  0.1990065000 -0.1545315000
-0.1097989000  0.0439249000  0.1800000000  6.7921453000  0.0727140000  0.0511440000  0.7724548000  0.1965795000 -0.1523481000
-0.1072568000  0.0439249000  0.1800000000  6.7962136000  0.0755320000  0.0537493000  0.7700358000  0.1923199000 -0.1489905000
-0.1047147000  0.0439249000  0.1800000000  6.7994409000  0.0786558000  0.0533751000  0.7705904000  0.1893207000 -0.1468034000
-0.1021726000  0.0439249000  0.1800000000  6.7995777000  0.0796745000  0.0465871000  0.7693709000  0.1925589000 -0.1449459000
-0.0996304000  0.0439249000  0.1800000000  6.7973757000  0.0782352000  0.0410444000  0.7660210000  0.1922723000 -0.1414900000
-0.0970883000  0.0439249000  0.1800000000  6.7952099000  0.0797649000  0.0372728000  0.7615100000  0.1890359000 -0.1398806000
-0.0945462000  0.0439249000  0.1800000000  6.7928505000  0.0830477000  0.0354111000  0.7572671000  0.1845447000 -0.1416250000
-0.0920040000  0.0439249000  0.1800000000  6.7902627000  0.0826206000  0.0352691000  0.7554386000  0.1815957000 -0.1471746000
-0.0894619000  0.0439249000  0.1800000000  6.7874103000  0.0762241000  0.0295220000  0.7553415000  0.1824713000 -0.1477628000
-0.0869198000  0.0439249000  0.1800000000  6.7873602000  0.0707198000  0.0275478000  0.7557906000  0.1836240000 -0.1485378000
-0.0843777000  0.0439249000  0.1800000000  6.7895684000  0.0695370000  0.0265591000  0.7584131000  0.1838742000 -0.1480125000
-0.0818355000  0.0439249000  0.1800000000  6.7925410000  0.0724216000  0.0256326000  0.7622789000  0.1837654000 -0.1457701000
-0.0792934000  0.0439249000  0.1800000000  6.7958717000  0.0739063000  0.0264060000  0.7628433000  0.1865755000 -0.1428265000
-0.0767513000  0.0439249000  0.1800000000  6.8012004000  0.0700366000  0.0291988000  0.7641039000  0.1855510000 -0.1400576000
-0.0742091000  0.0439249000  0.1800000000  6.8067570000  0.0635469000  0.0284445000  0.7694135000  0.1864801000 -0.1407534000
-0.0716670000  0.0439249000  0.1800000000  6.8116655000  0.0560339000  0.0278413000  0.7754426000  0.1884954000 -0.1439624000
-0.0691249000  0.0439249000  0.1800000000  6.8143783000  0.0491673000  0.0293995000  0.7788404000  0.1899503000 -0.1481209000
-0.0665828000  0.0439249000  0.1800000000  6.8154812000  0.0455223000  0.0280080000  0.7773291000  0.1879031000 -0.1506983000
-0.0640406000  0.0439249000  0.1800000000  6.8172779000  0.0408767000  0.0276823000  0.7748215000  0.1858662000 -0.1490482000
-0.0614985000  0.0439249000  0.1800000000  6.8175545000  0.0353069000  0.0284840000  0.7726442000  0.1854218000 -0.1450281000
-0.0589564000  0.0439249000  0.1800000000  6.8160777000  0.0314789000  0.0323255000  0.7698424000  0.1865857000 -0.1411632000
-0.0564142000  0.0439249000  0.1800000000  6.8141885000  0.0318673000  0.0405889000  0.7651535000  0.1885950000 -0.1399526000
-0.0538721000  0.0439249000  0.1800000000  6.8136210000  0.0334967000  0.0484439000  0.7571983000  0.1872367000 -0.1418550000
-0.0513300000  0.0439249000  0.1800000000  6.8150864000  0.0333085000  0.0479948000  0.7560523000  0.1896093000 -0.1461517000
-0.0487879000  0.0439249000  0.1800000000  6.8165069000  0.0341578000  0.0508466000  0.7554637000  0.1913434000 -0.1512077000
-0.0462457000  0.0439249000  0.1800000000  6.8173637000  0.0335325000  0.0546637000  0.7529862000  0.1917302000 -0.1555519000
-0.0437036000  0.0439249000  0.1800000000  6.8188133000  0.0267700000  0.0512776000  0.7478330000  0.1916974000 -0.1576971000
-0.0411615000  0.0439249000  0.1800000000  6.8225613000  0.0264394000  0.0567026000  0.7441083000  0.1931106000 -0.1587703000
-0.0386193000  0.0439249000  0.1800000000  6.8273835000  0.0274845000  0.0591788000  0.7391708000  0.1933197000 -0.1574978000
-0.0360772000  0.0439249000  0.1800000000  6.8308020000  0.0275453000  0.0597155000  0.7323655000  0.1913587000 -0.1550683000
-0.0335351000  0.0439249000  0.1800000000  6.8330626000  0.0259400000  0.0597849000  0.7236480000  0.1879325000 -0.1513430000
-0.0309930000  0.0439249000  0.1800000000  6.8373098000  0.0235596000  0.0617259000  0.7135886000  0.1856728000 -0.1447437000
-0.0284508000  0.0439249000  0.1800000000  6.8378410000  0.0225292000  0.0625974000  0.7122154000  0.1879082000 -0.1450479000
-0.0259087000  0.0439249000  0.1800000000  6.8373194000  0.0241097000  0.0727722000  0.7176726000  0.1926027000 -0.1487108000
-0.1860628000  0.0464970000  0.1800000000  6.8296309000  0.0505759000  0.0164728000  0.7295958000  0.1859107000 -0.1432131000
-0.1835207000  0.0464970000  0.1800000000  6.8300991000  0.0507982000  0.0147115000  0.7287130000  0.1854560000 -0.1473967000
-0.1809785000  0.0464970000  0.1800000000  6.8303576000  0.0515953000  0.0166192000  0.7282420000  0.1857702000 -0.1506242000
-0.1784364000  0.0464970000  0.1800000000  6.8296556000  0.0535602000  0.0195474000  0.7287461000  0.1862292000 -0.1510654000
-0.1758943000  0.0464970000  0.1800000000  6.8278990000  0.0535315000  0.0158620000  0.7305788000  0.1856984000 -0.1508567000
-0.1733522000  0.0464970000  0.1800000000  6.8249311000  0.0528089000  0.0129521000  0.7320840000  0.1866217000 -0.1491084000
-0.1708100000  0.0464970000  0.1800000000  6.8229485000  0.0528336000  0.0122671000  0.7316560000  0.1892344000 -0.1469351000
-0.1682679000  0.0464970000  0.1800000000  6.8222079000  0.0531177000  0.0109780000  0.7319990000  0.1919352000 -0.1443039000
-0.1657258000  0.0464970000  0.1800000000  6.8228602000  0.0535690000  0.0064096000  0.7357552000  0.1930224000 -0.1413698000
-0.1631836000  0.0464970000  0.1800000000  6.8211622000  0.0587157000  0.0008249000  0.7406741000  0.1917937000 -0.1403535000
-0.1606415000  0.0464970000  0.1800000000  6.8205404000  0.0606760000  0.0077978000  0.7492586000  0.1897209000 -0.1410316000
-0.1580994000  0.0464970000  0.1800000000  6.8188133000  0.0620663000  0.0106234000  0.7588070000  0.1876865000 -0.1423126000
-0.1555573000  0.0464970000  0.1800000000  6.8174658000  0.0646455000  0.0124121000  0.7648469000  0.1871546000 -0.1433322000
-0.1530151000  0.0464970000  0.1800000000  6.8202052000  0.0697388000  0.0226398000  0.7625087000  0.1896694000 -0.1433942000
-0.1504730000  0.0464970000  0.1800000000  6.8229241000  0.0726914000  0.0261920000  0.7565863000  0.1915664000 -0.1450994000
-0.1479309000  0.0464970000  0.1800000000  6.8258514000  0.0757979000  0.0293278000  0.7542220000  0.1916375000 -0.1463801000
-0.1453887000  0.0464970000  0.1800000000  6.8283758000  0.0764956000  0.0340571000  0.7554748000  0.1927334000 -0.1478525000
-0.1428466000  0.0464970000  0.1800000000  6.8306632000  0.0745090000  0.0398254000  0.7588805000  0.1948853000 -0.1496809000
-0.1403045000  0.0464970000  0.1800000000  6.8317833000  0.0714478000  0.0437712000  0.7611036000  0.1957029000 -0.1516457000
-0.1377624000  0.0464970000  0.1800000000  6.8332949000  0.0743088000  0.0418358000  0.7655224000  0.1933129000 -0.1502005000
-0.1352202000  0.0464970000  0.1800000000  6.8365784000  0.0704732000  0.0405572000  0.7666786000  0.1919495000 -0.1484449000
-0.1326781000  0.0464970000  0.1800000000  6.8409576000  0.0676578000  0.0412016000  0.7647378000  0.1916810000 -0.1473267000
-0.1301360000  0.0464970000  0.1800000000  6.8448982000  0.0702392000  0.0434590000  0.7615070000  0.1922794000 -0.1472531000
-0.1275938000  0.0464970000  0.1800000000  6.8466086000  0.0766918000  0.0441718000  0.7623495000  0.1931840000 -0.1478799000
-0.1250517000  0.0464970000  0.1800000000  6.8469276000  0.0773030000  0.0452783000  0.7653205000  0.1934701000 -0.1459324000
-0.1225096000  0.0464970000  0.1800000000  6.8454895000  0.0792470000  0.0428422000  0.7648953000  0.1955949000 -0.1453748000
-0.1199675000  0.0464970000  0.1800000000  6.8431234000  0.0814778000  0.0412215000  0.7629918000  0.1993734000 -0.1473671000
-0.1174253000  0.0464970000  0.1800000000  6.8402066000  0.0818395000  0.0431873000  0.7623045000  0.2037395000 -0.1518115000
-0.1148832000  0.0464970000  0.1800000000  6.8372474000  0.0765543000  0.0409138000  0.7660860000  0.2051072000 -0.1548862000
-0.1123411000  0.0464970000  0.1800000000  6.8374920000  0.0738325000  0.0410950000  0.7682539000  0.2043736000 -0.1554756000
-0.1097989000  0.0464970000  0.1800000000  6.8402176000  0.0731513000  0.0411289000  0.7682211000  0.2009392000 -0.1534590000
-0.1072568000  0.0464970000  0.1800000000  6.8439827000  0.0747607000  0.0404186000  0.7666473000  0.1966676000 -0.1503897000
-0.1047147000  0.0464970000  0.1800000000  6.8466735000  0.0787470000  0.0389916000  0.7644536000  0.1942667000 -0.1482461000
-0.1021726000  0.0464970000  0.1800000000  6.8485222000  0.0823784000  0.0381855000  0.7605182000  0.1965695000 -0.1465625000
-0.0996304000  0.0464970000  0.1800000000  6.8484640000  0.0813844000  0.0398636000  0.7565985000  0.1968601000 -0.1432113000
-0.0970883000  0.0464970000  0.1800000000  6.8480697000  0.0815043000  0.0403702000  0.7540445000  0.1942537000 -0.1415390000
-0.0945462000  0.0464970000  0.1800000000  6.8465753000  0.0831836000  0.0399996000  0.7529238000  0.1900778000 -0.1427796000
-0.0920040000  0.0464970000  0.1800000000  6.8435454000  0.0837274000  0.0414553000  0.7526646000  0.1873558000 -0.1469864000
-0.0894619000  0.0464970000  0.1800000000  6.8398027000  0.0788013000  0.0342976000  0.7507850000  0.1874016000 -0.1462773000
-0.0869198000  0.0464970000  0.1800000000  6.8388762000  0.0734257000  0.0311013000  0.7496930000  0.1878195000 -0.1461507000
-0.0843777000  0.0464970000  0.1800000000  6.8407693000  0.0714229000  0.0286439000  0.7505094000  0.1874805000 -0.1453779000
-0.0818355000  0.0464970000  0.1800000000  6.8440952000  0.0731394000  0.0256273000  0.7522189000  0.1868149000 -0.1433908000
-0.0792934000  0.0464970000  0.1800000000  6.8479886000  0.0741339000  0.0232735000  0.7507698000  0.1887210000 -0.1404444000
-0.0767513000  0.0464970000  0.1800000000  6.8536758000  0.0689414000  0.0246956000  0.7520506000  0.1880740000 -0.1398466000
-0.0742091000  0.0464970000  0.1800000000  6.8592839000  0.0622139000  0.0269008000  0.7561169000  0.1890503000 -0.1418199000
-0.0716670000  0.0464970000  0.1800000000  6.8646488000  0.0554396000  0.0290874000  0.7618918000  0.1911575000 -0.1451029000
-0.0691249000  0.0464970000  0.1800000000  6.8685927000  0.0497338000  0.0301149000  0.7675331000  0.1931714000 -0.1482984000
-0.0665828000  0.0464970000  0.1800000000  6.8709850000  0.0460942000  0.0268110000  0.7691956000  0.1924367000 -0.1498137000
-0.0640406000  0.0464970000  0.1800000000  6.8750458000  0.0403813000  0.0272509000  0.7693354000  0.1912054000 -0.1491555000
-0.0614985000  0.0464970000  0.1800000000  6.8775678000  0.0338177000  0.0241858000  0.7685472000  0.1913996000 -0.1466742000
-0.0589564000  0.0464970000  0.1800000000  6.8780727000  0.0294434000  0.0232958000  0.7664021000  0.1930607000 -0.1431599000
-0.0564142000  0.0464970000  0.1800000000  6.8776121000  0.0299930000  0.0309293000  0.7624433000  0.1952691000 -0.1399168000
-0.0538721000  0.0464970000  0.1800000000  6.8759718000  0.0331524000  0.0385123000  0.7559526000  0.1925154000 -0.1409103000
-0.0513300000  0.0464970000  0.1800000000  6.8741884000  0.0342686000  0.0416841000  0.7533275000  0.1939135000 -0.1451701000
-0.0487879000  0.0464970000  0.1800000000  6.8728251000  0.0352756000  0.0455038000  0.7515699000  0.1952689000 -0.1496806000
-0.0462457000  0.0464970000  0.1800000000  6.8719883000  0.0342524000  0.0481283000  0.7500203000  0.1956749000 -0.1533536000
-0.0437036000  0.0464970000  0.1800000000  6.8725863000  0.0278921000  0.0449580000  0.7489507000  0.1957272000 -0.1558918000
-0.0411615000  0.0464970000  0.1800000000  6.8749766000  0.0291906000  0.0478900000  0.7455349000  0.1998451000 -0.1583987000
-0.0386193000  0.0464970000  0.1800000000  6.8781586000  0.0309926000  0.0500426000  0.7401032000  0.2015215000 -0.1582107000
-0.0360772000  0.0464970000  0.1800000000  6.8812790000  0.0302427000  0.0538275000  0.7328084000  0.1992220000 -0.1562547000
-0.0335351000  0.0464970000  0.1800000000  6.8847208000  0.0266949000  0.0591196000  0.7232352000  0.1943176000 -0.1526579000
-0.0309930000  0.0464970000  0.1800000000  6.8902512000  0.0229693000  0.0631082000  0.7102478000  0.1915679000 -0.1467291000
-0.0284508000  0.0464970000  0.1800000000  6.8926392000  0.0228806000  0.0621609000  0.7059479000  0.1927207000 -0.1460220000
-0.0259087000  0.0464970000  0.1800000000  6.8930492000  0.0246133000  0.0716195000  0.7096653000  0.1975160000 -0.1489059000
-0.1860628000  0.0490692000  0.1800000000  6.8847437000  0.0503803000  0.0106080000  0.7198492000  0.1942119000 -0.1419920000
-0.1835207000  0.0490692000  0.1800000000  6.8858070000  0.0517080000  0.0049187000  0.7189098000  0.1928803000 -0.1452514000
-0.1809785000  0.0490692000  0.1800000000  6.8854423000  0.0535134000  0.0054972000  0.7190922000  0.1919642000 -0.1489644000
-0.1784364000  0.0490692000  0.1800000000  6.8832693000  0.0558998000  0.0108231000  0.7200846000  0.1919115000 -0.1511087000
-0.1758943000  0.0490692000  0.1800000000  6.8810854000  0.0567232000  0.0116764000  0.7190200000  0.1905963000 -0.1505433000
-0.1733522000  0.0490692000  0.1800000000  6.8756285000  0.0561787000  0.0060582000  0.7181551000  0.1900444000 -0.1486929000
-0.1708100000  0.0490692000  0.1800000000  6.8707495000  0.0551650000  0.0014895000  0.7167329000  0.1924505000 -0.1469617000
-0.1682679000  0.0490692000  0.1800000000  6.8680301000  0.0546163000 -0.0018748000  0.7168264000  0.1959637000 -0.1447983000
-0.1657258000  0.0490692000  0.1800000000  6.8685737000  0.0557769000 -0.0049983000  0.7202529000  0.1982114000 -0.1417150000
-0.1631836000  0.0490692000  0.1800000000  6.8678350000  0.0621072000 -0.0086018000  0.7244205000  0.1976044000 -0.1392571000
-0.1606415000  0.0490692000  0.1800000000  6.8673959000  0.0651599000 -0.0021383000  0.7318957000  0.1963660000 -0.1407304000
-0.1580994000  0.0490692000  0.1800000000  6.8661466000  0.0646392000  0.0037243000  0.7417819000  0.1944548000 -0.1435109000
-0.1555573000  0.0490692000  0.1800000000  6.8651562000  0.0631569000  0.0078157000  0.7499187000  0.1933402000 -0.1453044000
-0.1530151000  0.0490692000  0.1800000000  6.8672776000  0.0645303000  0.0122766000  0.7509727000  0.1949638000 -0.1440213000
-0.1504730000  0.0490692000  0.1800000000  6.8703279000  0.0674868000  0.0183006000  0.7458327000  0.1963166000 -0.1437194000
-0.1479309000  0.0490692000  0.1800000000  6.8739152000  0.0719783000  0.0210055000  0.7454183000  0.1955136000 -0.1459435000
-0.1453887000  0.0490692000  0.1800000000  6.8776379000  0.0731770000  0.0244794000  0.7461643000  0.1959128000 -0.1483612000
-0.1428466000  0.0490692000  0.1800000000  6.8814950000  0.0706930000  0.0295217000  0.7465949000  0.1977717000 -0.1500145000
-0.1403045000  0.0490692000  0.1800000000  6.8840199000  0.0678136000  0.0343355000  0.7464353000  0.1987362000 -0.1508410000
-0.1377624000  0.0490692000  0.1800000000  6.8868217000  0.0711823000  0.0402832000  0.7499568000  0.1960457000 -0.1485741000
-0.1352202000  0.0490692000  0.1800000000  6.8898063000  0.0683721000  0.0401319000  0.7507002000  0.1946979000 -0.1461387000
