   "X m"          "Y m"          "Z m"        "U m/s"     "V m/s"        "W m/s"     "uu m^2/s^2" "vv m^2/s^2"   "uv m^2/s^2" 
-0.1860628000  0.0413528000  0.0000000000  5.6646914000  0.1026697000  0.0246479000  0.6879384000  0.2420920000 -0.0310353000
-0.1835207000  0.0413528000  0.0000000000  5.6653671000  0.1059209000  0.0173044000  0.6856214000  0.2439988000 -0.0243961000
-0.1809785000  0.0413528000  0.0000000000  5.6666861000  0.1049298000  0.0228330000  0.6799219000  0.2442087000 -0.0233772000
-0.1784364000  0.0413528000  0.0000000000  5.6647143000  0.1003700000  0.0165522000  0.6735270000  0.2456129000 -0.0263407000
-0.1758943000  0.0413528000  0.0000000000  5.6623793000  0.0937455000  0.0128199000  0.6667006000  0.2457778000 -0.0293303000
-0.1733522000  0.0413528000  0.0000000000  5.6629629000  0.0900291000  0.0137739000  0.6609666000  0.2443187000 -0.0313920000
-0.1708100000  0.0413528000  0.0000000000  5.6694989000  0.0957923000  0.0192932000  0.6582769000  0.2412338000 -0.0320185000
-0.1682679000  0.0413528000  0.0000000000  5.6719599000  0.1030132000  0.0248510000  0.6612155000  0.2390102000 -0.0334052000
-0.1657258000  0.0413528000  0.0000000000  5.6732254000  0.1048142000  0.0334316000  0.6683641000  0.2400078000 -0.0369466000
-0.1631836000  0.0413528000  0.0000000000  5.6735301000  0.1048242000  0.0403751000  0.6738635000  0.2401138000 -0.0405518000
-0.1606415000  0.0413528000  0.0000000000  5.6730146000  0.1052186000  0.0418435000  0.6733049000  0.2374216000 -0.0430947000
-0.1580994000  0.0413528000  0.0000000000  5.6725798000  0.1033260000  0.0332053000  0.6639493000  0.2381111000 -0.0467556000
-0.1555573000  0.0413528000  0.0000000000  5.6673937000  0.1050964000  0.0157070000  0.6527593000  0.2365750000 -0.0485348000
-0.1530151000  0.0413528000  0.0000000000  5.6652031000  0.1076162000  0.0051995000  0.6504056000  0.2388924000 -0.0483118000
-0.1504730000  0.0413528000  0.0000000000  5.6663041000  0.1092692000  0.0053131000  0.6562060000  0.2443725000 -0.0465033000
-0.1479309000  0.0413528000  0.0000000000  5.6658254000  0.1081589000  0.0136516000  0.6608768000  0.2470090000 -0.0442335000
-0.1453887000  0.0413528000  0.0000000000  5.6616774000  0.1020713000  0.0072126000  0.6585600000  0.2476724000 -0.0430489000
-0.1428466000  0.0413528000  0.0000000000  5.6629004000  0.1000747000  0.0070597000  0.6623954000  0.2459665000 -0.0415872000
-0.1403045000  0.0413528000  0.0000000000  5.6673484000  0.1013113000  0.0157353000  0.6687510000  0.2431699000 -0.0402767000
-0.1377624000  0.0413528000  0.0000000000  5.6710405000  0.1039960000  0.0325655000  0.6722205000  0.2408378000 -0.0397457000
-0.1352202000  0.0413528000  0.0000000000  5.6707187000  0.1108547000  0.0318766000  0.6712025000  0.2409840000 -0.0410318000
-0.1326781000  0.0413528000  0.0000000000  5.6716490000  0.1184791000  0.0306073000  0.6691545000  0.2407798000 -0.0420080000
-0.1301360000  0.0413528000  0.0000000000  5.6720204000  0.1206615000  0.0317660000  0.6656014000  0.2407739000 -0.0430150000
-0.1275938000  0.0413528000  0.0000000000  5.6706347000  0.1160010000  0.0349407000  0.6612456000  0.2407010000 -0.0432934000
-0.1250517000  0.0413528000  0.0000000000  5.6684675000  0.1121226000  0.0315464000  0.6605042000  0.2382154000 -0.0386618000
-0.1225096000  0.0413528000  0.0000000000  5.6698194000  0.1117595000  0.0227591000  0.6579543000  0.2404528000 -0.0386156000
-0.1199675000  0.0413528000  0.0000000000  5.6723304000  0.1131487000  0.0194506000  0.6500044000  0.2411529000 -0.0359653000
-0.1174253000  0.0413528000  0.0000000000  5.6745858000  0.1134562000  0.0187465000  0.6412498000  0.2401225000 -0.0318401000
-0.1148832000  0.0413528000  0.0000000000  5.6762342000  0.1082850000  0.0115173000  0.6414086000  0.2393658000 -0.0308936000
-0.1123411000  0.0413528000  0.0000000000  5.6761217000  0.1046557000  0.0070580000  0.6480782000  0.2376752000 -0.0328293000
-0.1097989000  0.0413528000  0.0000000000  5.6786060000  0.1002929000  0.0095222000  0.6529803000  0.2375931000 -0.0336573000
-0.1072568000  0.0413528000  0.0000000000  5.6813211000  0.0958661000  0.0136295000  0.6543064000  0.2367716000 -0.0335087000
-0.1047147000  0.0413528000  0.0000000000  5.6832852000  0.0922449000  0.0143941000  0.6514803000  0.2335204000 -0.0326205000
-0.1021726000  0.0413528000  0.0000000000  5.6858778000  0.0916716000  0.0083937000  0.6493131000  0.2308511000 -0.0307143000
-0.0996304000  0.0413528000  0.0000000000  5.6863756000  0.0944286000  0.0023110000  0.6472692000  0.2284213000 -0.0298681000
-0.0970883000  0.0413528000  0.0000000000  5.6865501000  0.0982592000 -0.0052477000  0.6505613000  0.2280833000 -0.0294629000
-0.0945462000  0.0413528000  0.0000000000  5.6869898000  0.1003953000 -0.0113228000  0.6588826000  0.2297265000 -0.0300200000
-0.0920040000  0.0413528000  0.0000000000  5.6848783000  0.0947296000 -0.0049560000  0.6648786000  0.2307341000 -0.0339016000
-0.0894619000  0.0413528000  0.0000000000  5.6817503000  0.0959472000 -0.0013566000  0.6683727000  0.2360755000 -0.0369058000
-0.0869198000  0.0413528000  0.0000000000  5.6789265000  0.0943781000  0.0035457000  0.6694639000  0.2379040000 -0.0357673000
-0.0843777000  0.0413528000  0.0000000000  5.6766663000  0.0900929000  0.0066335000  0.6682147000  0.2369225000 -0.0319389000
-0.0818355000  0.0413528000  0.0000000000  5.6744170000  0.0849636000  0.0031812000  0.6647665000  0.2355435000 -0.0281170000
-0.0792934000  0.0413528000  0.0000000000  5.6700888000  0.0778084000 -0.0008456000  0.6616431000  0.2340509000 -0.0293430000
-0.0767513000  0.0413528000  0.0000000000  5.6675596000  0.0717918000 -0.0041945000  0.6606360000  0.2339693000 -0.0302006000
-0.0742091000  0.0413528000  0.0000000000  5.6658907000  0.0670661000 -0.0069763000  0.6580268000  0.2348447000 -0.0314425000
-0.0716670000  0.0413528000  0.0000000000  5.6644068000  0.0630948000 -0.0103942000  0.6531333000  0.2362380000 -0.0339217000
