,Unnamed: 0,Unnamed: 1,Unnamed: 2,X m,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Y m,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Z m,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,U m/s,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,V m/s,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,W m/s,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,uu m^2/s^2,vv m^2/s^2,Unnamed: 51,Unnamed: 52,uv m^2/s^2,Unnamed: 54
0,-0.1860628,,0.0413528,-0.12,,6.6216745,,0.0351646,,0.1405647,,0.7875687,,0.1634315,-0.1337194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.1835207,,0.0413528,-0.12,,6.6195555,,0.0394152,,0.1297884,,0.7948585,,0.1632849,-0.136865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-0.1809785,,0.0413528,-0.12,,6.6191392,,0.0420304,,0.1244129,,0.8019688,,0.1626125,-0.1389696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.1784364,,0.0413528,-0.12,,6.6212301,,0.0426413,,0.1364155,,0.8048806,,0.1619489,-0.139814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.1758943,,0.0413528,-0.12,,6.6246557,,0.0428792,,0.1491344,,0.7969786,,0.1636723,-0.1361934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.1733522,,0.0413528,-0.12,,6.6267705,,0.0410205,,0.1579456,,0.7901766,,0.1654889,-0.1331405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-0.17081,,0.0413528,-0.12,,6.6260605,,0.0358123,,0.1600711,,0.7885382,,0.1667084,-0.1324142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-0.1682679,,0.0413528,-0.12,,6.6228728,,0.0365979,,0.1580665,,0.7902926,,0.1659185,-0.1348214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-0.1657258,,0.0413528,-0.12,,6.6203771,,0.0364666,,0.1542563,,0.7919822,,0.1655601,-0.1362559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.1631836,,0.0413528,-0.12,,6.6191177,,0.0345081,,0.148715,,0.7932065,,0.1659692,-0.136131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-0.1606415,,0.0413528,-0.12,,6.6184316,,0.0286241,,0.1438274,,0.7876487,,0.1661119,-0.1333363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-0.1580994,,0.0413528,-0.12,,6.6177206,,0.0248865,,0.1354001,,0.781051,,0.1663492,-0.1309882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-0.1555573,,0.0413528,-0.12,,6.6169066,,0.0232473,,0.124337,,0.7741061,,0.1666758,-0.1294067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-0.1530151,,0.0413528,-0.12,,6.6131654,,0.0227119,,0.1237798,,0.7755206,,0.1669356,-0.1330823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-0.150473,,0.0413528,-0.12,,6.6122427,,0.0249691,,0.1292845,,0.7820107,,0.1679906,-0.136138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-0.1479309,,0.0413528,-0.12,,6.6140618,,0.0285589,,0.139025,,0.78991,,0.1692536,-0.1379832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-0.1453887,,0.0413528,-0.12,,6.6210279,,0.0281571,,0.1492114,,0.7836454,,0.1682081,-0.1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-0.1428466,,0.0413528,-0.12,,6.6240416,,0.029518,,0.1480256,,0.7749055,,0.1672711,-0.1313144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-0.1403045,,0.0413528,-0.12,,6.6238379,,0.0318762,,0.1405453,,0.76824,,0.1659699,-0.1289502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-0.1377624,,0.0413528,-0.12,,6.6190548,,0.0346618,,0.1308819,,0.7748894,,0.1630022,-0.1292714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-0.1352202,,0.0413528,-0.12,,6.6153388,,0.0359478,,0.1224519,,0.7828105,,0.1625625,-0.1272385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-0.1326781,,0.0413528,-0.12,,6.613018,,0.0374594,,0.1174681,,0.7881576,,0.1637175,-0.1253377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-0.130136,,0.0413528,-0.12,,6.6129227,,0.0410107,,0.1205136,,0.7853397,,0.1667027,-0.1260388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-0.1275938,,0.0413528,-0.12,,6.6139021,,0.045136,,0.1257223,,0.778725,,0.1679984,-0.1290119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-0.1250517,,0.0413528,-0.12,,6.6147685,,0.0477743,,0.1277219,,0.7720369,,0.1686085,-0.131464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-0.1225096,,0.0413528,-0.12,,6.6146331,,0.0473122,,0.122611,,0.7668958,,0.1686693,-0.1318855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-0.1199675,,0.0413528,-0.12,,6.6130762,,0.0463399,,0.1212442,,0.7647943,,0.1700505,-0.1321376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-0.1174253,,0.0413528,-0.12,,6.6110482,,0.0455676,,0.1204901,,0.7659503,,0.1717577,-0.1329463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-0.1148832,,0.0413528,-0.12,,6.6086521,,0.0451746,,0.1198785,,0.771104,,0.17367,-0.1345702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-0.1123411,,0.0413528,-0.12,,6.6051617,,0.0433291,,0.1232253,,0.7822211,,0.1746845,-0.1377781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-0.1097989,,0.0413528,-0.12,,6.6035094,,0.0427928,,0.1252672,,0.7933192,,0.1761284,-0.1403763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-0.1072568,,0.0413528,-0.12,,6.603879,,0.0437148,,0.1256531,,0.8039608,,0.1780601,-0.1421893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,-0.1047147,,0.0413528,-0.12,,6.6055984,,0.0448079,,0.1230236,,0.8096984,,0.1795087,-0.1415078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-0.1021726,,0.0413528,-0.12,,6.6058559,,0.0462626,,0.1181489,,0.8145574,,0.1786322,-0.1399284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-0.0996304,,0.0413528,-0.12,,6.605134,,0.0470766,,0.1113622,,0.8184406,,0.1758818,-0.1377206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-0.0970883,,0.0413528,-0.12,,6.6060338,,0.0390947,,0.1032178,,0.8196274,,0.1727328,-0.1362621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-0.0945462,,0.0413528,-0.12,,6.6086664,,0.0333173,,0.0993852,,0.8188183,,0.1707522,-0.1358286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-0.092004,,0.0413528,-0.12,,6.612318,,0.0296305,,0.0977876,,0.8168107,,0.1698712,-0.1361471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-0.0894619,,0.0413528,-0.12,,6.6160002,,0.0299437,,0.0947677,,0.8146447,,0.1710689,-0.1372291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-0.0869198,,0.0413528,-0.12,,6.6196632,,0.0307898,,0.0964876,,0.8141645,,0.1691511,-0.137442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-0.0843777,,0.0413528,-0.12,,6.6235571,,0.030843,,0.0986989,,0.8150964,,0.1662622,-0.1379912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-0.0818355,,0.0413528,-0.12,,6.627491,,0.0276485,,0.0960838,,0.8181694,,0.164456,-0.1407668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,-0.0792934,,0.0413528,-0.12,,6.6312847,,0.0250275,,0.0866882,,0.8184344,,0.1665263,-0.142423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,-0.0767513,,0.0413528,-0.12,,6.6340089,,0.0232495,,0.0807181,,0.8172128,,0.169188,-0.1435033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
