,Unnamed: 0,Unnamed: 1,Unnamed: 2,X m,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Y m,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Z m,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,U m/s,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,V m/s,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,W m/s,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,uu m^2/s^2,vv m^2/s^2,Unnamed: 51,Unnamed: 52,uv m^2/s^2,Unnamed: 54
0,,0.0766193,,0.0413528,,0.12,,6.9969182,,0.0113903,-0.0246081,,0.7894936,,0.2171821,-0.1280625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0791602,,0.0413528,,0.12,,6.9977546,,0.0064019,-0.0214904,,0.7888204,,0.2176573,-0.1296147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.0817011,,0.0413528,,0.12,,6.99893,,0.0051948,-0.0194959,,0.7863956,,0.2180005,-0.1302543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.0842419,,0.0413528,,0.12,,6.999332,,0.0065568,-0.0221804,,0.7845755,,0.2191171,-0.12993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.0867828,,0.0413528,,0.12,,6.9999371,,9.46e-05,-0.0200905,,0.7870373,,0.2197484,-0.130189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.0893237,,0.0413528,,0.12,,6.9997387,-0.0073002,-0.0190477,,0.7862474,,0.2194071,-0.1303915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.0918646,,0.0413528,,0.12,,6.9988337,-0.0098675,-0.0213489,,0.7835313,,0.2189268,-0.1300158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.0944055,,0.0413528,,0.12,,6.9976196,-0.0030799,-0.0274154,,0.7834254,,0.2194383,-0.1287266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.0969463,,0.0413528,,0.12,,6.9964824,-0.001208,-0.0281758,,0.7833318,,0.2169888,-0.1289628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.0994872,,0.0413528,,0.12,,6.994822,-0.0081869,-0.0313958,,0.7812409,,0.2124922,-0.1307389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.1020281,,0.0413528,,0.12,,6.9923773,-0.0140489,-0.0338867,,0.7785174,,0.2079431,-0.1322697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.104569,,0.0413528,,0.12,,6.9901648,-0.0155236,-0.0349013,,0.7765073,,0.2044183,-0.1327807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.1071099,,0.0413528,,0.12,,6.9898901,-0.013484,-0.0352372,,0.7766537,,0.2024921,-0.1321026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.1096507,,0.0413528,,0.12,,6.9875345,-0.0154825,-0.0358271,,0.7775684,,0.2018492,-0.1318221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.1121916,,0.0413528,,0.12,,6.9860764,-0.0197816,-0.0385461,,0.7777941,,0.2035221,-0.1311966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
