,nn,nl,sw,uw,E_U,E_V,E_P,Avg
0,20,4,1,10,4.354373454015607,8.561758390704421,21.40063623234154,11.438922692353856
1,60,4,1,10,6.28868928029463,11.765222010200697,61.762718520951175,26.60554327048217
2,100,4,1,10,7.253018709508266,14.159279110927177,97.68645595099763,39.69958459047769
3,20,6,1,10,4.10061693178903,8.11474076931897,13.714990084294447,8.643449261800816
4,60,6,1,10,6.035941068782672,11.539190166155965,48.26371557088169,21.94628226860678
5,100,6,1,10,7.452270598819175,15.572899259363705,55.33875284841963,26.121307568867504
6,20,10,1,10,13.276569966334565,54.81175457776781,56.33712118515573,41.47514857641937
7,60,10,1,10,5.763323607062253,15.743424847968328,23.44099585951911,14.982581438183232
8,100,10,1,10,8.77361812214569,16.43549602277499,48.441877269699724,24.550330471540136
