,nn,nl,sw,uw,E_U,E_V,E_P,time,Avg
0,20,4,1,1,4.27,11.09,21.62,167.3,12.33
1,60,4,1,1,8.33,16.09,42.3,1125.52,22.24
2,100,4,1,1,8.23,16.19,47.14,1465.74,23.85
3,20,6,1,1,4.44,9.21,17.88,168.58,10.51
4,60,6,1,1,8.05,15.1,59.5,1230.63,27.55
5,100,6,1,1,7.9,15.74,50.13,2489.71,24.59
6,20,10,1,1,4.35,9.56,16.56,440.64,10.15
7,60,10,1,1,8.08,13.92,32.61,2402.52,18.21
8,100,10,1,1,8.4,14.93,55.39,3306.23,26.24
