,nn,nl,sw,uw,E_U,E_V,E_P,time,Avg
0,20,4,1,10,3.96,8.66,19.06,414.06,10.56
1,60,4,1,10,6.29,11.77,61.76,595.08,26.61
2,100,4,1,10,7.25,14.16,97.69,1082.44,39.7
3,20,6,1,10,4.47,8.54,27.07,311.43,13.36
4,60,6,1,10,6.04,11.54,48.26,1070.28,21.95
5,100,6,1,10,7.45,15.57,55.34,1948.66,26.12
6,20,10,1,10,13.28,54.81,56.34,35.82,41.48
7,60,10,1,10,5.76,15.74,23.44,31.19,14.98
8,100,10,1,10,8.77,16.44,48.44,4261.96,24.55
