,nn,nl,sw,uw,E_U,E_V,E_P
0,20,4,1,10,4.242312388652246,9.318503415290307,19.491030186196685
1,60,4,1,10,4.031974102326978,7.6859610268700465,15.10596140225754
2,100,4,1,10,4.567785851030999,8.299829596864269,17.57884208780233
3,20,6,1,10,4.326148308187573,9.439710080097099,16.84820286508155
4,60,6,1,10,4.742468884592679,9.394325891647537,23.494688270263538
5,100,6,1,10,4.356074982982964,9.760362952711613,25.408470115386308
6,20,10,1,10,4.322259484342088,8.70844696397936,20.876880095491234
7,60,10,1,10,4.447678454399975,8.075899583486786,16.701083286577568
8,100,10,1,10,3.911365047853109,7.998711248653888,17.188642213145577
