   "X m"          "Y m"          "Z m"        "U m/s"     "V m/s"        "W m/s"     "uu m^2/s^2" "vv m^2/s^2"   "uv m^2/s^2" 
 0.0766193000  0.0413528000 -0.1800000000  7.3257666000  0.0063630000  0.1431370000  0.7762007000  0.1834520000 -0.1405542000
 0.0791602000  0.0413528000 -0.1800000000  7.3277559000  0.0055923000  0.1458849000  0.7754961000  0.1851752000 -0.1434186000
 0.0817011000  0.0413528000 -0.1800000000  7.3294387000  0.0038087000  0.1486543000  0.7761776000  0.1861409000 -0.1460955000
 0.0842419000  0.0413528000 -0.1800000000  7.3301821000 -0.0000081000  0.1483344000  0.7806916000  0.1866580000 -0.1481661000
 0.0867828000  0.0413528000 -0.1800000000  7.3304601000 -0.0010950000  0.1499311000  0.7829071000  0.1875484000 -0.1490452000
 0.0893237000  0.0413528000 -0.1800000000  7.3303785000 -0.0002274000  0.1528833000  0.7834626000  0.1886297000 -0.1490853000
 0.0918646000  0.0413528000 -0.1800000000  7.3295012000  0.0011208000  0.1557026000  0.7831966000  0.1876246000 -0.1493114000
 0.0944055000  0.0413528000 -0.1800000000  7.3291740000 -0.0001710000  0.1561746000  0.7828753000  0.1872916000 -0.1499361000
 0.0969463000  0.0413528000 -0.1800000000  7.3294029000 -0.0042823000  0.1541390000  0.7824917000  0.1876756000 -0.1509859000
 0.0994872000  0.0413528000 -0.1800000000  7.3295503000 -0.0060751000  0.1534919000  0.7838801000  0.1894076000 -0.1521878000
 0.1020281000  0.0413528000 -0.1800000000  7.3291683000 -0.0057567000  0.1566453000  0.7846693000  0.1915414000 -0.1533224000
 0.1045690000  0.0413528000 -0.1800000000  7.3279161000 -0.0022954000  0.1657802000  0.7842814000  0.1941676000 -0.1543299000
 0.1071099000  0.0413528000 -0.1800000000  7.3267269000  0.0014977000  0.1652379000  0.7836205000  0.1943030000 -0.1545499000
 0.1096507000  0.0413528000 -0.1800000000  7.3257794000  0.0047222000  0.1619807000  0.7832054000  0.1937543000 -0.1545983000
 0.1121916000  0.0413528000 -0.1800000000  7.3253741000  0.0063183000  0.1567914000  0.7835563000  0.1927451000 -0.1546153000
 0.1147325000  0.0413528000 -0.1800000000  7.3238778000  0.0101986000  0.1518813000  0.7831365000  0.1929327000 -0.1558828000
 0.1172734000  0.0413528000 -0.1800000000  7.3227282000  0.0139021000  0.1465793000  0.7825040000  0.1933255000 -0.1572399000
 0.1198142000  0.0413528000 -0.1800000000  7.3227959000  0.0129345000  0.1389681000  0.7819652000  0.1925758000 -0.1568463000
 0.1223551000  0.0413528000 -0.1800000000  7.3235068000  0.0101485000  0.1367908000  0.7829308000  0.1921348000 -0.1564899000
 0.1248960000  0.0413528000 -0.1800000000  7.3243780000  0.0069111000  0.1378423000  0.7845188000  0.1917641000 -0.1560574000
 0.1274369000  0.0413528000 -0.1800000000  7.3226690000  0.0110162000  0.1391436000  0.7829742000  0.1900722000 -0.1544651000
 0.1299778000  0.0413528000 -0.1800000000  7.3206573000  0.0114262000  0.1385790000  0.7816291000  0.1893902000 -0.1537151000
 0.1325186000  0.0413528000 -0.1800000000  7.3183455000  0.0085254000  0.1363421000  0.7804600000  0.1896123000 -0.1537192000
 0.1350595000  0.0413528000 -0.1800000000  7.3163605000  0.0126069000  0.1318118000  0.7791690000  0.1897609000 -0.1525895000
 0.1376004000  0.0413528000 -0.1800000000  7.3144531000  0.0151630000  0.1277311000  0.7783516000  0.1901587000 -0.1519988000
 0.1401413000  0.0413528000 -0.1800000000  7.3125367000  0.0154404000  0.1243277000  0.7781649000  0.1908918000 -0.1521683000
 0.1426822000  0.0413528000 -0.1800000000  7.3117747000  0.0142233000  0.1221354000  0.7771974000  0.1919506000 -0.1528684000
 0.1452231000  0.0413528000 -0.1800000000  7.3111663000  0.0142348000  0.1194130000  0.7762245000  0.1926989000 -0.1533472000
 0.1477639000  0.0413528000 -0.1800000000  7.3106203000  0.0172439000  0.1152309000  0.7754802000  0.1927077000 -0.1532107000
 0.1503048000  0.0413528000 -0.1800000000  7.3090868000  0.0157843000  0.1099511000  0.7743208000  0.1913699000 -0.1522124000
 0.1528457000  0.0413528000 -0.1800000000  7.3068609000  0.0138512000  0.1049637000  0.7734693000  0.1896352000 -0.1509358000
 0.1553866000  0.0413528000 -0.1800000000  7.3042164000  0.0148099000  0.1021221000  0.7742142000  0.1879130000 -0.1495873000
 0.1579274000  0.0413528000 -0.1800000000  7.3024354000  0.0169057000  0.1021955000  0.7749496000  0.1859629000 -0.1485318000
 0.1604683000  0.0413528000 -0.1800000000  7.3007779000  0.0185388000  0.1038059000  0.7759523000  0.1839755000 -0.1477365000
 0.1630092000  0.0413528000 -0.1800000000  7.2992821000  0.0128662000  0.1063012000  0.7791581000  0.1825763000 -0.1478344000
 0.1655501000  0.0413528000 -0.1800000000  7.2977080000  0.0080583000  0.1066500000  0.7818879000  0.1826836000 -0.1489447000
 0.1680910000  0.0413528000 -0.1800000000  7.2959785000  0.0040531000  0.1055468000  0.7842255000  0.1839287000 -0.1508032000
 0.1706318000  0.0413528000 -0.1800000000  7.2933526000  0.0073491000  0.1120178000  0.7852918000  0.1856166000 -0.1522028000
 0.1731727000  0.0413528000 -0.1800000000  7.2907796000  0.0099103000  0.1172062000  0.7869745000  0.1867346000 -0.1529349000
 0.1757136000  0.0413528000 -0.1800000000  7.2882080000  0.0116428000  0.1209470000  0.7893460000  0.1872083000 -0.1529129000
 0.1782545000  0.0413528000 -0.1800000000  7.2868524000  0.0095439000  0.1201322000  0.7912252000  0.1855472000 -0.1508099000
 0.1807954000  0.0413528000 -0.1800000000  7.2855563000  0.0071061000  0.1190743000  0.7926393000  0.1842832000 -0.1491071000
 0.1833362000  0.0413528000 -0.1800000000  7.2842541000  0.0046643000  0.1182863000  0.7933393000  0.1840222000 -0.1484045000
 0.1858771000  0.0413528000 -0.1800000000  7.2820535000  0.0042106000  0.1216750000  0.7924684000  0.1841019000 -0.1492875000
 0.1884180000  0.0413528000 -0.1800000000  7.2798653000  0.0035967000  0.1257464000  0.7912200000  0.1846348000 -0.1504588000
 0.1909589000  0.0413528000 -0.1800000000  7.2783494000  0.0013303000  0.1291416000  0.7899050000  0.1862053000 -0.1514546000
 0.1934997000  0.0413528000 -0.1800000000  7.2773943000 -0.0010222000  0.1279344000  0.7884552000  0.1867982000 -0.1519543000
 0.1960406000  0.0413528000 -0.1800000000  7.2763376000 -0.0030941000  0.1253819000  0.7869952000  0.1869658000 -0.1520938000
 0.1985815000  0.0413528000 -0.1800000000  7.2744656000 -0.0035842000  0.1252344000  0.7858381000  0.1869599000 -0.1514258000
 0.2011224000  0.0413528000 -0.1800000000  7.2728252000 -0.0036981000  0.1276556000  0.7846876000  0.1861261000 -0.1509330000
 0.2036633000  0.0413528000 -0.1800000000  7.2709842000 -0.0033067000  0.1313084000  0.7837762000  0.1848185000 -0.1504632000
 0.2062041000  0.0413528000 -0.1800000000  7.2690926000  0.0009964000  0.1296115000  0.7868090000  0.1842761000 -0.1488393000
 0.2087450000  0.0413528000 -0.1800000000  7.2668028000  0.0045667000  0.1284815000  0.7904307000  0.1842720000 -0.1479250000
 0.2112859000  0.0413528000 -0.1800000000  7.2640805000  0.0074436000  0.1278869000  0.7946032000  0.1847760000 -0.1476808000
 0.2138268000  0.0413528000 -0.1800000000  7.2606263000  0.0085886000  0.1285259000  0.7956030000  0.1863984000 -0.1470974000
 0.2163677000  0.0413528000 -0.1800000000  7.2581692000  0.0103345000  0.1281812000  0.7961425000  0.1875509000 -0.1467846000
 0.2189085000  0.0413528000 -0.1800000000  7.2572398000  0.0130306000  0.1263690000  0.7962061000  0.1879752000 -0.1468772000
